unit,cycle,setting1,setting2,setting3,sensor2,sensor3,sensor4,sensor7,sensor11,sensor12,sensor15,sensor20,sensor21
1,1,0.001,0.000,100,642.10,1582.1,1398.5,554.4,47.20,522.1,8.390,39.10,23.410
1,2,0.001,0.000,100,642.17,1583.0,1399.2,554.0,47.24,521.9,8.398,39.06,23.386
1,3,0.001,0.000,100,642.26,1584.2,1400.1,553.7,47.29,521.5,8.407,39.00,23.350
1,4,0.001,0.000,100,642.35,1585.5,1401.0,553.3,47.35,521.1,8.419,38.94,23.318
1,5,0.001,0.000,100,642.46,1586.8,1402.0,552.8,47.41,520.7,8.432,38.88,23.282
1,6,0.001,0.000,100,642.58,1588.3,1403.4,552.4,47.49,520.2,8.449,38.80,23.238
1,7,0.001,0.000,100,642.73,1590.0,1405.1,551.8,47.60,519.6,8.470,38.70,23.180
1,8,0.001,0.000,100,642.90,1592.3,1407.4,551.0,47.76,518.8,8.498,38.56,23.098
2,1,-0.002,0.001,100,641.98,1579.9,1395.9,555.2,47.04,523.3,8.350,39.32,23.530
2,2,-0.002,0.001,100,642.03,1580.4,1396.5,555.0,47.07,523.0,8.355,39.28,23.505
2,3,-0.002,0.001,100,642.08,1581.0,1397.0,554.8,47.09,522.8,8.361,39.25,23.487
2,4,-0.002,0.001,100,642.15,1581.8,1397.8,554.6,47.12,522.6,8.368,39.21,23.462
2,5,-0.002,0.001,100,642.23,1582.7,1398.6,554.3,47.17,522.2,8.377,39.16,23.430
2,6,-0.002,0.001,100,642.32,1583.8,1399.7,554.0,47.22,521.9,8.388,39.10,23.398
2,7,-0.002,0.001,100,642.43,1585.0,1400.9,553.6,47.28,521.4,8.402,39.02,23.352
2,8,-0.002,0.001,100,642.57,1586.6,1402.5,553.1,47.38,520.8,8.421,38.91,23.290
2,9,-0.002,0.001,100,642.75,1588.8,1404.8,552.4,47.55,520.0,8.450,38.76,23.205
2,10,-0.002,0.001,100,642.96,1591.4,1407.6,551.5,47.77,519.0,8.486,38.58,23.112
3,1,0.003,-0.001,100,642.22,1583.2,1398.8,554.0,47.23,521.7,8.401,39.04,23.372
3,2,0.003,-0.001,100,642.36,1585.1,1400.3,553.5,47.31,521.1,8.416,38.96,23.326
3,3,0.003,-0.001,100,642.52,1587.0,1402.1,553.0,47.40,520.6,8.434,38.86,23.270
3,4,0.003,-0.001,100,642.70,1589.5,1404.3,552.2,47.55,519.8,8.461,38.72,23.192
3,5,0.003,-0.001,100,642.92,1592.4,1407.2,551.2,47.80,518.7,8.503,38.50,23.080
4,1,-0.001,0.000,100,642.02,1580.2,1396.3,555.1,47.05,523.1,8.352,39.30,23.515
4,2,-0.001,0.000,100,642.06,1580.7,1396.8,554.9,47.07,522.9,8.357,39.27,23.498
4,3,-0.001,0.000,100,642.11,1581.3,1397.4,554.7,47.10,522.7,8.363,39.24,23.475
4,4,-0.001,0.000,100,642.17,1582.0,1398.0,554.5,47.13,522.4,8.370,39.20,23.452
4,5,-0.001,0.000,100,642.24,1582.9,1398.8,554.2,47.18,522.1,8.379,39.15,23.424
4,6,-0.001,0.000,100,642.33,1584.0,1399.8,553.9,47.23,521.8,8.391,39.09,23.386
4,7,-0.001,0.000,100,642.43,1585.3,1401.0,553.5,47.30,521.3,8.405,39.01,23.342
4,8,-0.001,0.000,100,642.55,1586.8,1402.4,553.0,47.39,520.7,8.423,38.91,23.286
4,9,-0.001,0.000,100,642.69,1588.5,1404.0,552.5,47.50,520.1,8.445,38.80,23.224
4,10,-0.001,0.000,100,642.86,1590.5,1406.0,551.8,47.66,519.3,8.475,38.64,23.135
4,11,-0.001,0.000,100,643.08,1593.2,1408.8,550.8,47.93,518.1,8.520,38.40,23.000
