unit,cycle,rul,risk_band,health_index
1,1,7,monitor,3.38
1,2,6,monitor,4.342
1,3,5,warning,5.55
1,4,4,warning,6.896
1,5,3,warning,8.354
1,6,2,critical,10.086
1,7,1,critical,12.3
1,8,0,critical,15.296
2,1,9,monitor,-0.3
2,2,8,monitor,0.455
2,3,7,monitor,1.109
2,4,6,monitor,1.924
2,5,5,warning,3.05
2,6,4,warning,4.246
2,7,3,warning,5.804
2,8,2,critical,7.9
2,9,1,critical,10.925
2,10,0,critical,14.644
3,1,4,warning,4.584
3,2,3,warning,6.452
3,3,2,critical,8.48
3,4,1,critical,11.434
3,5,0,critical,15.65
4,1,10,monitor,0.115
4,2,9,monitor,0.726
4,3,8,monitor,1.435
4,4,7,monitor,2.254
4,5,6,monitor,3.308
4,6,5,warning,4.532
4,7,4,warning,6.114
4,8,3,warning,8.072
4,9,2,critical,10.268
4,10,1,critical,13.255
4,11,0,critical,17.72
