unit,cycle,setting1,setting2,setting3,sensor2,sensor3,sensor4,sensor7,sensor11,sensor12,sensor15,sensor20,sensor21
1,1,0.001,0,100,642.1,1582.1,1398.5,554.4,47.2,522.1,8.39,39.1,23.41
1,2,0.001,0,100,642.17,1583,1399.2,554,47.24,521.9,8.398,39.06,23.386
1,3,0.001,0,100,642.26,1584.2,1400.1,553.7,47.29,521.5,8.407,39,23.35
1,4,0.001,0,100,642.35,1585.5,1401,553.3,47.35,521.1,8.419,38.94,23.318
1,5,0.001,0,100,642.46,1586.8,1402,552.8,47.41,520.7,8.432,38.88,23.282
1,6,0.001,0,100,642.58,1588.3,1403.4,552.4,47.49,520.2,8.449,38.8,23.238
1,7,0.001,0,100,642.73,1590,1405.1,551.8,47.6,519.6,8.47,38.7,23.18
1,8,0.001,0,100,642.9,1592.3,1407.4,551,47.76,518.8,8.498,38.56,23.098
2,1,-0.002,0.001,100,641.98,1579.9,1395.9,555.2,47.04,523.3,8.35,39.32,23.53
2,2,-0.002,0.001,100,642.03,1580.4,1396.5,555,47.07,523,8.355,39.28,23.505
2,3,-0.002,0.001,100,642.08,1581,1397,554.8,47.09,522.8,8.361,39.25,23.487
2,4,-0.002,0.001,100,642.15,1581.8,1397.8,554.6,47.12,522.6,8.368,39.21,23.462
2,5,-0.002,0.001,100,642.23,1582.7,1398.6,554.3,47.17,522.2,8.377,39.16,23.43
2,6,-0.002,0.001,100,642.32,1583.8,1399.7,554,47.22,521.9,8.388,39.1,23.398
2,7,-0.002,0.001,100,642.43,1585,1400.9,553.6,47.28,521.4,8.402,39.02,23.352
2,8,-0.002,0.001,100,642.57,1586.6,1402.5,553.1,47.38,520.8,8.421,38.91,23.29
2,9,-0.002,0.001,100,642.75,1588.8,1404.8,552.4,47.55,520,8.45,38.76,23.205
2,10,-0.002,0.001,100,642.96,1591.4,1407.6,551.5,47.77,519,8.486,38.58,23.112
3,1,0.003,-0.001,100,642.22,1583.2,1398.8,554,47.23,521.7,8.401,39.04,23.372
3,2,0.003,-0.001,100,642.36,1585.1,1400.3,553.5,47.31,521.1,8.416,38.96,23.326
3,3,0.003,-0.001,100,642.52,1587,1402.1,553,47.4,520.6,8.434,38.86,23.27
3,4,0.003,-0.001,100,642.7,1589.5,1404.3,552.2,47.55,519.8,8.461,38.72,23.192
3,5,0.003,-0.001,100,642.92,1592.4,1407.2,551.2,47.8,518.7,8.503,38.5,23.08
4,1,-0.001,0,100,642.02,1580.2,1396.3,555.1,47.05,523.1,8.352,39.3,23.515
4,2,-0.001,0,100,642.06,1580.7,1396.8,554.9,47.07,522.9,8.357,39.27,23.498
4,3,-0.001,0,100,642.11,1581.3,1397.4,554.7,47.1,522.7,8.363,39.24,23.475
4,4,-0.001,0,100,642.17,1582,1398,554.5,47.13,522.4,8.37,39.2,23.452
4,5,-0.001,0,100,642.24,1582.9,1398.8,554.2,47.18,522.1,8.379,39.15,23.424
4,6,-0.001,0,100,642.33,1584,1399.8,553.9,47.23,521.8,8.391,39.09,23.386
4,7,-0.001,0,100,642.43,1585.3,1401,553.5,47.3,521.3,8.405,39.01,23.342
4,8,-0.001,0,100,642.55,1586.8,1402.4,553,47.39,520.7,8.423,38.91,23.286
4,9,-0.001,0,100,642.69,1588.5,1404,552.5,47.5,520.1,8.445,38.8,23.224
4,10,-0.001,0,100,642.86,1590.5,1406,551.8,47.66,519.3,8.475,38.64,23.135
4,11,-0.001,0,100,643.08,1593.2,1408.8,550.8,47.93,518.1,8.52,38.4,23
